Username,Datetime,Text
Ken_Sajous,2022-12-01 23:59:09+00:00,"Hey, @Spotify @SpotifyCares We are waiting for your explanation on why you removed “Left and Right” from Jungkook and “My Universe” from BTS on Spotify Wrapped this year. Both songs are equally theirs. Are you really that scared of their power?#SpotifyCorrupt #SpotifyCorrupt"
gudge_22,2022-12-01 23:59:08+00:00,"Thanks Roger Waters for spending 3,256 minutes with me in 2022. I couldn’t stop listening to 5:01AM (The Pros and Cons of Hitch Hiking, Pt. 10). #SpotifyWrapped https://t.co/F1SDnQ7Tiy"
doIIcious,2022-12-01 23:59:08+00:00,@felixIips AMIGA ELLA TENIA A BTS EN EL SPOTIFY WRAPPED Y LO BORRO JAJAJAJAJAJAJJAJAA
draaxnke,2022-12-01 23:59:08+00:00,@levijjk Hi @Spotify @SpotifyCares We are waiting for your explanation on why you removed “Left and Right” from Jungkook from BTS  and “My Universe” from BTS on Spotify Wrapped this year. Both songs are equally theirs. Are you really scared of their power???
FlipYeet,2022-12-01 23:59:08+00:00,"Thanks @nfrealmusic for spending 7,273 minutes with me in 2022. I couldn’t stop listening to CLOUDS. #SpotifyWrapped https://t.co/eNGS3kC9Da"
Dead_crystal_,2022-12-01 23:59:08+00:00,"Thanks potsu for spending 1,701 minutes with me in 2022. I couldn’t stop listening to Be. #SpotifyWrapped https://t.co/VEWRhjKOLG"
ilaymata,2022-12-01 23:59:07+00:00,Thanks @taylorswift13 for spending 632 minutes with me in 2022. I couldn’t stop listening to Midnight Rain. #SpotifyWrapped https://t.co/77CaDEwpeg
NatasjaLeRenard,2022-12-01 23:59:07+00:00,"Thanks @thebandghost for spending 9,593 minutes with me in 2022. I couldn’t stop listening to Dance Macabre. #SpotifyWrapped https://t.co/SjKpcTKSbh"
Wahyu_Oetami,2022-12-01 23:59:07+00:00,Thanks Kunto Aji for spending 198 minutes with me in 2022. I couldn’t stop listening to Pilu Membiru. #SpotifyWrapped https://t.co/V8JqZggNXU
FL3X_NFT,2022-12-01 23:59:06+00:00,@Gotitans333 @davidguetta 🤣 my dad wanted to see what happens when he pressed like on my top artist for Spotify wrapped 2022. Oops
ultra_scythe,2022-12-01 23:59:06+00:00,"Thanks $uicideboy$ for spending 1,856 minutes with me in 2022. I couldn’t stop listening to Fucking Your Culture. #SpotifyWrapped https://t.co/nOBhAO44pE"
luke_Nelson25,2022-12-01 23:59:06+00:00,"Thanks Fantasy Footballers - Fantasy Football Podcast for being my top podcast on @Spotify this year. I loved all 7,026 minutes of it. #SpotifyWrapped https://t.co/GVAgW2dwpI https://t.co/VLirrIVj76"
